filing_date,accession_number,company_name,share_class,cusip,value_thousands,shares,source_file
2007-09-30,0000914121-07-002366,IMPERIAL OIL LTD                                COM,NEW,453038408,3646,73500,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,IMS HEALTH INC,COM,449934108,3294,107500,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,INTEGRYS ENERGY GROUP INC,COM,45822P105,2894,56500,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,INTEL CORP,COM,458140100,7693,297500,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,INTERPUBLIC GROUP OF COS INC,COM,460690100,3296,317543,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,INTUIT INC,COM,461202103,5890,194400,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,IRON MOUNTAIN INC,COM,462846106,1314,43100,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,ISTAR FINANCIAL INC,COM,45031U101,9721,286000,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,JABIL CIRCUIT INC,COM,466313103,2046,89600,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,JACK IN THE BOX INC,COM,466367109,8345,128700,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,JACOBS ENGINEERING GROUP INC,COM,469814107,5933,78500,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,JANUS CAPITAL GROUP INC,COM,47102X105,3145,111215,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,JOHNSON & JOHNSON,COM,478160104,27305,415600,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,JOHNSON CONTROLS INC,COM,478366107,2008,17000,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,KEYCORP,COM,493267108,2554,79000,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,KIMBERLY-CLARK CORP,COM,494368103,6949,98900,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,KINDER MORGAN MANAGEMENT LLC,SHS,49455U100,317,6774,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,KING PHARMACEUTICALS INC,COM,495582108,7845,669400,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,LAM RESEARCH CORP,COM,512807108,5012,94100,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,LEGG MASON INC,COM,524901105,11683,138600,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,LIBERTY PROPERTY TRUST                          SH BEN,INT,531172104,3152,78400,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,LINCARE HOLDINGS INC,COM,532791100,9451,257859,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,LINCOLN NATIONAL CORP,COM,534187109,7039,106700,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,LINEAR TECHNOLOGY CORP,COM,535678106,9125,260780,000091412107002366_0000914121-07-002366.txt
2007-09-30,0000914121-07-002366,LOCKHEED MARTIN CORP,COM,539830109,2951,27200,000091412107002366_0000914121-07-002366.txt
