ticker,company_name,cik,cik_raw,last_updated
A,"AGILENT TECHNOLOGIES, INC.",0001090872,1090872,2025-08-02T00:40:29.757783
AA,Alcoa Corp,0001675149,1675149,2025-08-02T00:40:29.758313
AAAU,Goldman Sachs Physical Gold ETF,0001708646,1708646,2025-08-02T00:40:29.763403
AACB,Artius II Acquisition Inc.,0002034334,2034334,2025-08-02T00:40:29.760490
AACBR,Artius II Acquisition Inc.,0002034334,2034334,2025-08-02T00:40:29.764368
AACBU,Artius II Acquisition Inc.,0002034334,2034334,2025-08-02T00:40:29.764369
AACG,ATA Creativity Global,0001420529,1420529,2025-08-02T00:40:29.761942
AACI,Armada Acquisition Corp. II,0002044009,2044009,2025-08-02T00:40:29.760249
AACIU,Armada Acquisition Corp. II,0002044009,2044009,2025-08-02T00:40:29.764884
AACIW,Armada Acquisition Corp. II,0002044009,2044009,2025-08-02T00:40:29.764885
AACT,Ares Acquisition Corp II,0001853138,1853138,2025-08-02T00:40:29.759830
AACT-UN,Ares Acquisition Corp II,0001853138,1853138,2025-08-02T00:40:29.765092
AACT-WT,Ares Acquisition Corp II,0001853138,1853138,2025-08-02T00:40:29.765091
AAGH,America Great Health,0001098009,1098009,2025-08-02T00:40:29.764229
AAL,American Airlines Group Inc.,0000006201,6201,2025-08-02T00:40:29.758301
AAM,AA Mission Acquisition Corp.,0002012964,2012964,2025-08-02T00:40:29.760138
AAM-UN,AA Mission Acquisition Corp.,0002012964,2012964,2025-08-02T00:40:29.764341
AAM-WT,AA Mission Acquisition Corp.,0002012964,2012964,2025-08-02T00:40:29.764340
AAME,ATLANTIC AMERICAN CORP,0000008177,8177,2025-08-02T00:40:29.761810
AAMI,Acadian Asset Management Inc.,0001748824,1748824,2025-08-02T00:40:29.759352
AAMTF,Armada Mercantile Ltd,0001327899,1327899,2025-08-02T00:40:29.762751
AAOI,"APPLIED OPTOELECTRONICS, INC.",0001158114,1158114,2025-08-02T00:40:29.759332
AAON,"AAON, INC.",0000824142,824142,2025-08-02T00:40:29.758433
AAP,ADVANCE AUTO PARTS INC,0001158449,1158449,2025-08-02T00:40:29.758701
AAPG,ASCENTAGE PHARMA GROUP INTERNATIONAL,0002023311,2023311,2025-08-02T00:40:29.758768
AAPI,"Apple iSports Group, Inc.",0001134982,1134982,2025-08-02T00:40:29.759437
AAPL,Apple Inc.,0000320193,320193,2025-08-02T00:40:29.757426
AAQL,Antiaging Quantum Living Inc.,0001672571,1672571,2025-08-02T00:40:29.762234
AARD,"Aardvark Therapeutics, Inc.",0001774857,1774857,2025-08-02T00:40:29.760470
AASP,Agassi Sports Entertainment Corp.,0000930245,930245,2025-08-02T00:40:29.761475
AAT,"American Assets Trust, Inc.",0001500217,1500217,2025-08-02T00:40:29.759283
AATC,AUTOSCOPE TECHNOLOGIES CORP,0000943034,943034,2025-08-02T00:40:29.764145
AAUAF,ALMADEN MINERALS LTD,0001015647,1015647,2025-08-02T00:40:29.762099
AAUC,Allied Gold Corp,0001993344,1993344,2025-08-02T00:40:29.759262
AAUGF,AERO ENERGY Ltd,0001905688,1905688,2025-08-02T00:40:29.762770
AAVXF,Abivax S.A.,0001956827,1956827,2025-08-02T00:40:29.765044
AAWH,"Ascend Wellness Holdings, Inc.",0001756390,1756390,2025-08-02T00:40:29.761460
AB,ALLIANCEBERNSTEIN HOLDING L.P.,0000825313,825313,2025-08-02T00:40:29.758612
ABAKF,"ABRDN ASIA-PACIFIC INCOME FUND, INC.",0000790500,790500,2025-08-02T00:40:29.765684
ABAT,AMERICAN BATTERY TECHNOLOGY Co,0001576873,1576873,2025-08-02T00:40:29.760508
ABBNY,ABB LTD,0001091587,1091587,2025-08-02T00:40:29.763595
ABBV,AbbVie Inc.,0001551152,1551152,2025-08-02T00:40:29.757450
ABCB,Ameris Bancorp,0000351569,351569,2025-08-02T00:40:29.758618
ABCFF,ABACUS MINING & EXPLORATION CORP,0001284237,1284237,2025-08-02T00:40:29.763081
ABCL,AbCellera Biologics Inc.,0001703057,1703057,2025-08-02T00:40:29.759322
ABCP,AmBase Corp,0000020639,20639,2025-08-02T00:40:29.762053
ABEO,ABEONA THERAPEUTICS INC.,0000318306,318306,2025-08-02T00:40:29.760375
ABEV,AMBEV S.A.,0001565025,1565025,2025-08-02T00:40:29.757751
ABG,ASBURY AUTOMOTIVE GROUP INC,0001144980,1144980,2025-08-02T00:40:29.758600
ABIT,Athena Bitcoin Global,0001095146,1095146,2025-08-02T00:40:29.761257
ABL,"Abacus Global Management, Inc.",0001814287,1814287,2025-08-02T00:40:29.760022
ABLLL,"Abacus Global Management, Inc.",0001814287,1814287,2025-08-02T00:40:29.764341
ABLLW,"Abacus Global Management, Inc.",0001814287,1814287,2025-08-02T00:40:29.764342
ABLV,Able View Global Inc.,0001957489,1957489,2025-08-02T00:40:29.761695
ABLVW,Able View Global Inc.,0001957489,1957489,2025-08-02T00:40:29.764705
ABLZF,ABB LTD,0001091587,1091587,2025-08-02T00:40:29.763595
ABM,ABM INDUSTRIES INC /DE/,0000771497,771497,2025-08-02T00:40:29.758871
ABNB,"Airbnb, Inc.",0001559720,1559720,2025-08-02T00:40:29.757580
ABOS,"Acumen Pharmaceuticals, Inc.",0001576885,1576885,2025-08-02T00:40:29.761290
ABP,"Abpro Holdings, Inc.",0001893219,1893219,2025-08-02T00:40:29.762302
ABPWW,"Abpro Holdings, Inc.",0001893219,1893219,2025-08-02T00:40:29.764807
ABQQ,AB INTERNATIONAL GROUP CORP.,0001605331,1605331,2025-08-02T00:40:29.763088
ABR,ARBOR REALTY TRUST INC,0001253986,1253986,2025-08-02T00:40:29.758976
